FirstName,LastName,MiddleName,StartDate,EndDate,CreateDate,CreatedBy,ModifiedDate,ModifiedBy,BirthDate,salary,Gender
cristina,chitu,I ,08/03/2014,,08/18/2014,asuri,08/18/2014,asuri,09/18/1969,25500,m
SERGIO,CONTRERAS,J,07/18/2014,,08/02/2014,asuri,08/02/2014,asuri,02/21/1942,17100,f
Dan,Hubbard,K,08/07/2014,,08/22/2014,asuri,08/22/2014,asuri,02/08/1964,68125,m
Paul,Lartigue,L,07/22/2014,,08/06/2014,asuri,08/06/2014,asuri,08/15/1932,30600,m
FRANCISCO,LOPEZ,A,08/11/2014,,08/26/2014,asuri,08/26/2014,asuri,01/03/1948,52125,m
Ben,Garcia,B,07/26/2014,,08/10/2014,asuri,08/10/2014,asuri,09/24/1951,61875,m
Gevorg,Kirakosyan,C,08/15/2014,,08/30/2014,asuri,08/30/2014,asuri,03/09/1969,21300,m
hoang,dam,D,07/30/2014,,08/14/2014,asuri,08/14/2014,asuri,03/15/1969,19650,f
BOB,ambuehl,E,08/19/2014,,09/03/2014,asuri,09/03/2014,asuri,02/20/1969,22350,f
Edgar,Moctezuma,F,08/03/2014,,08/18/2014,asuri,08/18/2014,asuri,03/27/1969,23400,f
sergey,seroshtan,G,08/23/2014,,09/07/2014,asuri,09/07/2014,asuri,06/20/1968,24300,f
Joaquin,Camacho,H,08/07/2014,,08/22/2014,asuri,08/22/2014,asuri,10/13/1968,28500,f
Romeo,Hernandez,I ,08/27/2014,,09/11/2014,asuri,09/11/2014,asuri,01/16/1969,19950,f
Donald,Krimes,J,08/11/2014,,08/26/2014,asuri,08/26/2014,asuri,09/24/1969,23400,f
mauricio,villaverde,K,08/31/2014,02/16/2017,09/15/2014,asuri,09/15/2014,asuri,10/07/1963,34500,f
Delmy Rubia,Heernandez,L,08/15/2014,,08/30/2014,asuri,08/30/2014,asuri,08/24/1969,18150,f
Joe,Williams,D,09/04/2014,,09/19/2014,asuri,09/19/2014,asuri,05/16/1936,22350,m
MIGUEL,ANGEL,E,08/19/2014,,09/03/2014,asuri,09/03/2014,asuri,03/17/1966,40200,m
Douglas ,Farnsworth,F,09/08/2014,,09/23/2014,asuri,09/23/2014,asuri,10/29/1947,28650,m
Glen,Walker,G,08/23/2014,,09/07/2014,asuri,09/07/2014,asuri,08/24/1963,27750,m
Rajender,Dhingra,H,09/12/2014,,09/27/2014,asuri,09/27/2014,asuri,06/17/1964,66875,m
Eliseo,Moreno Gonzalez,I ,08/27/2014,,09/11/2014,asuri,09/11/2014,asuri,11/12/1939,30000,m
Mallory,Sylvester,J,09/16/2014,,10/01/2014,asuri,10/01/2014,asuri,08/04/1964,83750,m
margarito ,santos ,K,08/31/2014,,09/15/2014,asuri,09/15/2014,asuri,01/14/1963,33900,m
MIRIAM,LOPEZ,L,09/20/2014,,10/05/2014,asuri,10/05/2014,asuri,05/11/1965,56500,m
Mark,Shagoury,A,09/04/2014,,09/19/2014,asuri,09/19/2014,asuri,05/20/1965,43000,f
john,wright,B,09/24/2014,,10/09/2014,asuri,10/09/2014,asuri,06/12/1943,20850,f
Wade,Higbee,C,09/08/2014,,09/23/2014,asuri,09/23/2014,asuri,04/16/1969,24450,f
Jeffrey,Hill,D,09/28/2014,,10/13/2014,asuri,10/13/2014,asuri,10/20/1969,24750,f
eduardo,perez,E,09/12/2014,,09/27/2014,asuri,09/27/2014,asuri,02/18/1945,34500,m
ISRAR,KHAN,F,10/02/2014,,10/17/2014,asuri,10/17/2014,asuri,09/15/1963,27900,m
JESUS,RAMOS,G,09/16/2014,,10/01/2014,asuri,10/01/2014,asuri,02/25/1963,68125,m
Mike,Freese,H,10/06/2014,,10/21/2014,asuri,10/21/2014,asuri,10/10/1961,73500,m
Jesse,Jiminez,I ,09/20/2014,,10/05/2014,asuri,10/05/2014,asuri,05/28/1930,30750,m
Linda,Decker,J,10/10/2014,,10/25/2014,asuri,10/25/2014,asuri,03/07/1958,40050,m
Richard,Johnson,K,09/24/2014,,10/09/2014,asuri,10/09/2014,asuri,01/18/1965,40350,m
VICTOR,CHISEEV,L,10/14/2014,,10/29/2014,asuri,10/29/2014,asuri,01/22/1955,38700,m
gursimar,guron,A,09/28/2014,,10/13/2014,asuri,10/13/2014,asuri,10/27/1964,65000,m
ron,winner,B,10/18/2014,,11/02/2014,asuri,11/02/2014,asuri,04/05/1954,51450,m
sukhwinder,singh,C,10/02/2014,,10/17/2014,asuri,10/17/2014,asuri,09/23/1934,35250,m
Ed,Gordon,D,10/22/2014,,11/06/2014,asuri,11/06/2014,asuri,05/07/1963,25950,m
manuel,cuevas,E,10/06/2014,,10/21/2014,asuri,10/21/2014,asuri,09/19/1965,25050,m
ROBERT ,YOUN,F,10/26/2014,,11/10/2014,asuri,11/10/2014,asuri,10/10/1968,26700,m
Froylan,Cruz,G,10/10/2014,,10/25/2014,asuri,10/25/2014,asuri,08/20/1932,24000,m
Artemio,Rocha,H,10/30/2014,,11/14/2014,asuri,11/14/2014,asuri,02/12/1964,26850,m
masood,ahmed,I ,10/14/2014,,10/29/2014,asuri,10/29/2014,asuri,04/16/1942,23400,f
Manjinder ,Singh,J,11/03/2014,,11/18/2014,asuri,11/18/2014,asuri,08/24/1966,24600,f
Francisco,Ramirez,K,10/18/2014,,11/02/2014,asuri,11/02/2014,asuri,05/11/1965,32550,f
ALVARO,PACHECO,L,11/07/2014,,11/22/2014,asuri,11/22/2014,asuri,05/26/1960,26550,m
LUIS RICARDO,MOLINA,A,10/22/2014,04/09/2017,11/06/2014,asuri,11/06/2014,asuri,08/04/1968,31500,m
Ahmad,Ali,B,11/11/2014,04/29/2017,11/26/2014,asuri,11/26/2014,asuri,09/28/1939,22350,m
KAMALJIT ,KAUR,C,10/26/2014,04/13/2017,11/10/2014,asuri,11/10/2014,asuri,02/10/1938,35250,m
Randy,McKinney,D,11/15/2014,05/03/2017,11/30/2014,asuri,11/30/2014,asuri,09/28/1945,25800,f
Juvie,Macias,E,10/30/2014,04/17/2017,11/14/2014,asuri,11/14/2014,asuri,10/25/1941,30750,m
steve,wright,F,11/19/2014,05/07/2017,12/04/2014,asuri,12/04/2014,asuri,04/05/1966,30750,m
Elvin,Warren,G,11/03/2014,04/21/2017,11/18/2014,asuri,11/18/2014,asuri,07/24/1945,50000,m
ETHAN ,CHE,H,11/23/2014,,12/08/2014,asuri,12/08/2014,asuri,02/01/1963,34500,m
Lela,Guerrero,I ,11/07/2014,,11/22/2014,asuri,11/22/2014,asuri,07/19/1964,26250,m
Manuel ,Molina,J,11/27/2014,,12/12/2014,asuri,12/12/2014,asuri,03/23/1964,44875,m
william,atkins,K,11/11/2014,,11/26/2014,asuri,11/26/2014,asuri,02/15/1951,22500,f
Oscar,Ortiz,L,12/01/2014,,12/16/2014,asuri,12/16/2014,asuri,03/12/1963,25650,f
Walt,Pene,A,11/15/2014,,11/30/2014,asuri,11/30/2014,asuri,10/25/1969,21300,f
RUFINO,ALARCON,B,12/05/2014,,12/20/2014,asuri,12/20/2014,asuri,11/24/1966,29850,f
TINO,TSAI,C,11/19/2014,,12/04/2014,asuri,12/04/2014,asuri,09/19/1969,34500,f
Mariana,Bramstedt,D,12/09/2014,,12/24/2014,asuri,12/24/2014,asuri,01/14/1960,27750,m
Thomas,Williams,E,11/23/2014,,12/08/2014,asuri,12/08/2014,asuri,02/27/1969,27750,m
RAFIK,KACHIKYAN,F,12/13/2014,,12/28/2014,asuri,12/28/2014,asuri,02/19/1961,48750,m
Miguel,Caballero,G,11/27/2014,,12/12/2014,asuri,12/12/2014,asuri,03/02/1966,43410,m
William,Wade,H,12/17/2014,,01/01/2015,asuri,01/01/2015,asuri,11/10/1936,22050,m
Serge,Podolchuk,I ,12/01/2014,,12/16/2014,asuri,12/16/2014,asuri,10/26/1953,22050,f
MARTIN,HEREDIA,J,12/21/2014,,01/05/2015,asuri,01/05/2015,asuri,03/02/1938,22500,f
anokh,singh,K,12/05/2014,,12/20/2014,asuri,12/20/2014,asuri,05/13/1967,25500,f
Dan,Miller,L,12/25/2014,,01/09/2015,asuri,01/09/2015,asuri,10/14/1966,29160,f
Mukhtar,Chochaev,A,12/09/2014,,12/24/2014,asuri,12/24/2014,asuri,11/04/1934,16800,f
Elvir,mehmedovic,B,12/29/2014,,01/13/2015,asuri,01/13/2015,asuri,07/24/1958,29550,m
Sukhbir ,Singh,C,12/13/2014,,12/28/2014,asuri,12/28/2014,asuri,03/02/1965,26700,m
Maria  de jesus,Marquez,D,01/02/2015,,01/17/2015,asuri,01/17/2015,asuri,10/25/1952,55000,m
Stephen ,Kloke,E,12/17/2014,,01/01/2015,asuri,01/01/2015,asuri,08/24/1958,62500,m
ROGELIO,RODRIGUEZ,F,01/06/2015,,01/21/2015,asuri,01/21/2015,asuri,05/09/1959,27300,m
Alonso,Reyes,G,12/21/2014,,01/05/2015,asuri,01/05/2015,asuri,02/04/1942,24450,f
GILBERT,CHOI,H,01/10/2015,,01/25/2015,asuri,01/25/2015,asuri,05/10/1964,33000,f
leah,abraham,I ,12/25/2014,,01/09/2015,asuri,01/09/2015,asuri,01/26/1965,37050,f
Miguel,Lorenzana,J,01/14/2015,,01/29/2015,asuri,01/29/2015,asuri,05/09/1966,24450,f
CESAR,FRAGA,K,12/29/2014,,01/13/2015,asuri,01/13/2015,asuri,02/26/1930,31950,m
Colleen,Geurts,L,01/18/2015,,02/02/2015,asuri,02/02/2015,asuri,01/10/1964,47250,m
Maninder ,Singh,D,01/02/2015,,01/17/2015,asuri,01/17/2015,asuri,01/27/1970,26100,f
Philip,Acosta,E,01/22/2015,,02/06/2015,asuri,02/06/2015,asuri,08/12/1938,15900,f
Mark,Phillips,F,01/06/2015,06/24/2017,01/21/2015,asuri,01/21/2015,asuri,11/07/1942,23700,f
Pedro,Ayala,G,01/26/2015,,02/10/2015,asuri,02/10/2015,asuri,05/06/1934,21750,f
JOGINDER,RANA,H,01/10/2015,,01/25/2015,asuri,01/25/2015,asuri,01/20/1945,59400,m
Dinu V.,Popescu,I ,01/30/2015,,02/14/2015,asuri,02/14/2015,asuri,06/01/1948,24450,f
Ram,Kumar,J,01/14/2015,,01/29/2015,asuri,01/29/2015,asuri,06/09/1953,103500,m
ANNA ,TIKHONIN,K,02/03/2015,,02/18/2015,asuri,02/18/2015,asuri,10/13/1963,35700,m
IRAN,PEREZ,L,01/18/2015,07/06/2017,02/02/2015,asuri,02/02/2015,asuri,05/05/1969,22200,f
GURINDER,SINGH,A,02/07/2015,,02/22/2015,asuri,02/22/2015,asuri,08/16/1968,22950,f
JORGE,ENAMORADO,B,01/22/2015,,02/06/2015,asuri,02/06/2015,asuri,08/10/1944,23100,f
Paramjit,Grewal,C,02/11/2015,,02/26/2015,asuri,02/26/2015,asuri,06/11/1962,56750,f
Roeurth,Reth,D,01/26/2015,,02/10/2015,asuri,02/10/2015,asuri,03/22/1938,29100,f
Gurmukhpal,Singh,E,02/15/2015,,03/02/2015,asuri,03/02/2015,asuri,04/21/1939,37650,f
Rai,Hann,F,01/30/2015,07/18/2017,02/14/2015,asuri,02/14/2015,asuri,01/27/1966,27900,f
christian,hernandez,G,02/19/2015,,03/06/2015,asuri,03/06/2015,asuri,11/26/1933,21150,f
AGUSTIN ,BENITEZ,H,02/03/2015,,02/18/2015,asuri,02/18/2015,asuri,03/10/1955,31200,m
Jorge B,Cisneros,I ,02/23/2015,,03/10/2015,asuri,03/10/2015,asuri,05/08/1946,20550,f
Melanie,Easters,J,02/07/2015,,02/22/2015,asuri,02/22/2015,asuri,05/19/1961,25950,m
Connie,Choi,K,02/27/2015,,03/14/2015,asuri,03/14/2015,asuri,11/10/1965,28350,m
Samuel,Debesay,L,02/11/2015,,02/26/2015,asuri,02/26/2015,asuri,01/18/1932,17700,f
Charanjit ,Bains,A,03/03/2015,,03/18/2015,asuri,03/18/2015,asuri,04/11/1944,23550,f
Roberto,Castaneda,B,02/15/2015,,03/02/2015,asuri,03/02/2015,asuri,06/12/1941,19950,f
Ted,Moline,C,03/07/2015,,03/22/2015,asuri,03/22/2015,asuri,08/11/1968,29400,f
MARIO,SIERRA,D,02/19/2015,,03/06/2015,asuri,03/06/2015,asuri,06/09/1966,28800,f
emiliano,contreras,E,03/11/2015,,03/26/2015,asuri,03/26/2015,asuri,04/08/1937,16950,f
Abdinasir ,Sheikh,F,02/23/2015,08/11/2017,03/10/2015,asuri,03/10/2015,asuri,06/03/1954,35700,m
Brad,O'Rear,G,03/15/2015,,03/30/2015,asuri,03/30/2015,asuri,03/26/1947,17400,f
JUAN,HERNANDEZ,H,02/27/2015,,03/14/2015,asuri,03/14/2015,asuri,10/16/1948,21450,f
eloy,valverde,I ,03/19/2015,,04/03/2015,asuri,04/03/2015,asuri,03/21/1961,24750,f
ROBERT,BOGAN,J,03/03/2015,,03/18/2015,asuri,03/18/2015,asuri,05/22/1942,16950,f
Alfonso,Garcia,K,03/23/2015,,04/07/2015,asuri,04/07/2015,asuri,07/20/1943,26100,f
Artur,Kirakosyan,L,03/07/2015,,03/22/2015,asuri,03/22/2015,asuri,11/14/1967,28050,m
Harpreet ,Singh,A,03/27/2015,,04/11/2015,asuri,04/11/2015,asuri,01/20/1963,36600,f
TODD,CHAPIN,B,03/11/2015,,03/26/2015,asuri,03/26/2015,asuri,04/05/1966,58125,f
Wilfredo ,Hernandez,C,03/31/2015,,04/15/2015,asuri,04/15/2015,asuri,08/22/1935,21300,m
Deborah,Harding,D,03/15/2015,,03/30/2015,asuri,03/30/2015,asuri,10/29/1949,22500,m
noe,rodriguez,E,04/04/2015,,04/19/2015,asuri,04/19/2015,asuri,07/26/1967,29400,m
fernando,tirado Montoya,F,03/19/2015,,04/03/2015,asuri,04/03/2015,asuri,10/08/1966,27450,m
HARDIP,ZHIM,G,04/08/2015,,04/23/2015,asuri,04/23/2015,asuri,10/09/1964,29850,m
JASSIM,ESCHEIK,H,03/23/2015,,04/07/2015,asuri,04/07/2015,asuri,11/29/1965,25350,m
Aleksandr,Pitsul,I ,04/12/2015,,04/27/2015,asuri,04/27/2015,asuri,09/21/1930,15750,f
MANUEL,LOPEZ,J,03/27/2015,,04/11/2015,asuri,04/11/2015,asuri,05/12/1938,19650,f
luis,santis,K,04/16/2015,,05/01/2015,asuri,05/01/2015,asuri,02/22/1941,21000,f
Frank,Miller ,L,03/31/2015,,04/15/2015,asuri,04/15/2015,asuri,07/15/1946,27000,m
Terry,Talbot,A,04/20/2015,,05/05/2015,asuri,05/05/2015,asuri,10/20/1959,24000,m
Ronald,Lewis,B,04/04/2015,,04/19/2015,asuri,04/19/2015,asuri,06/03/1961,78500,m
LIONEL,SAGASTUME,C,04/24/2015,,05/09/2015,asuri,05/09/2015,asuri,11/11/1955,20850,f
Dan,Smith,D,04/08/2015,,04/23/2015,asuri,04/23/2015,asuri,10/01/1930,30000,m
Alejandro Alegria,Arias,E,04/28/2015,,05/13/2015,asuri,05/13/2015,asuri,08/18/1934,28500,m
Inderjit ,Singh,F,04/12/2015,,04/27/2015,asuri,04/27/2015,asuri,02/03/1965,65000,m
Waheed,Ghaly,G,05/02/2015,,05/17/2015,asuri,05/17/2015,asuri,01/02/1959,30150,m
ENRIQUE,EBORLAS,H,04/16/2015,,05/01/2015,asuri,05/01/2015,asuri,04/15/1959,66875,m
Javier,Hernandez,I ,05/06/2015,,05/21/2015,asuri,05/21/2015,asuri,11/09/1968,24150,f
JOSE,SIERRA,J,04/20/2015,,05/05/2015,asuri,05/05/2015,asuri,01/12/1969,24450,f
ANGEL,MIDENCE,K,05/10/2015,,05/25/2015,asuri,05/25/2015,asuri,05/12/1970,21600,f
Christopher,Malcolm,L,04/24/2015,,05/09/2015,asuri,05/09/2015,asuri,06/24/1969,27900,f
Ryan,Williford,A,05/14/2015,,05/29/2015,asuri,05/29/2015,asuri,02/04/1970,29100,f
cesar,ruiz castellanos,B,04/28/2015,,05/13/2015,asuri,05/13/2015,asuri,03/09/1970,22650,f
Dion,Cracraft,C,05/18/2015,,06/02/2015,asuri,06/02/2015,asuri,08/17/1970,20850,f
Robert J,Carroll,D,05/02/2015,,05/17/2015,asuri,05/17/2015,asuri,01/17/1970,22950,f
SAUL ,SANTAMARIA,E,05/22/2015,,06/06/2015,asuri,06/06/2015,asuri,11/21/1970,30600,f
Venancio,Reina,F,05/06/2015,,05/21/2015,asuri,05/21/2015,asuri,02/06/1970,20400,f
Jerry,Pliska,G,05/26/2015,,06/10/2015,asuri,06/10/2015,asuri,08/06/1969,23850,f
Michael ,Wong,H,05/10/2015,,05/25/2015,asuri,05/25/2015,asuri,03/14/1970,22800,f
JOSE,RENDEROS,I ,05/30/2015,,06/14/2015,asuri,06/14/2015,asuri,02/07/1970,20700,f
ALOISSES,RODRIGUEZ,J,05/14/2015,,05/29/2015,asuri,05/29/2015,asuri,04/28/1970,21300,f
Tomas,Sanchez,K,06/03/2015,,06/18/2015,asuri,06/18/2015,asuri,05/01/1953,24300,f
dev,badhan,L,05/18/2015,,06/02/2015,asuri,06/02/2015,asuri,07/12/1944,19650,f
JORGE ,GRIMALDY   ,D,06/07/2015,,06/22/2015,asuri,06/22/2015,asuri,10/05/1965,60000,m
Simarjit,Singh,E,05/22/2015,,06/06/2015,asuri,06/06/2015,asuri,09/06/1965,30300,m
Plaze,Sexton,F,06/11/2015,,06/26/2015,asuri,06/26/2015,asuri,02/12/1964,61250,m
Ronald,Shoemaker,G,05/26/2015,,06/10/2015,asuri,06/10/2015,asuri,11/21/1962,36000,m
STACEY ,COLLETT,H,06/15/2015,,06/30/2015,asuri,06/30/2015,asuri,01/09/1942,25200,f
FELIPE,MARTINEZ,I ,05/30/2015,,06/14/2015,asuri,06/14/2015,asuri,08/21/1931,16200,f
Edgardo,Solis,J,06/19/2015,,07/04/2015,asuri,07/04/2015,asuri,06/16/1970,22800,f
NAZARIO,FLORES,K,06/03/2015,,06/18/2015,asuri,06/18/2015,asuri,03/13/1966,43500,f
Johnny,To,L,06/23/2015,,07/08/2015,asuri,07/08/2015,asuri,01/08/1961,30300,m
John,Cordell,A,06/07/2015,,06/22/2015,asuri,06/22/2015,asuri,05/02/1963,31950,m
Daniel ,Elizarraras,B,06/27/2015,,07/12/2015,asuri,07/12/2015,asuri,01/16/1965,35250,m
Paramjit Singh,Gosal,C,06/11/2015,,06/26/2015,asuri,06/26/2015,asuri,07/22/1967,37800,m
Antocnio ,Cordero,D,07/01/2015,,07/16/2015,asuri,07/16/2015,asuri,06/05/1965,31200,m
gurnek,singh,E,06/15/2015,,06/30/2015,asuri,06/30/2015,asuri,10/20/1964,29400,m
Charles ,Sapien,F,07/05/2015,,07/20/2015,asuri,07/20/2015,asuri,07/16/1957,70000,m
Frankie ,Gilbert,G,06/19/2015,,07/04/2015,asuri,07/04/2015,asuri,11/01/1961,33900,m
Edgar,Perez,H,07/09/2015,,07/24/2015,asuri,07/24/2015,asuri,07/20/1963,27150,m
Randolph,Bullard,I ,06/23/2015,,07/08/2015,asuri,07/08/2015,asuri,04/26/1936,22200,f
Edwin,Capulong,J,07/13/2015,,07/28/2015,asuri,07/28/2015,asuri,07/06/1966,31350,f
corey ,applewhite,K,06/27/2015,,07/12/2015,asuri,07/12/2015,asuri,01/26/1942,20850,f
Yasin,Shakarov,L,07/17/2015,,08/01/2015,asuri,08/01/2015,asuri,10/27/1952,33300,m
Ibrahim,Guven,A,07/01/2015,,07/16/2015,asuri,07/16/2015,asuri,04/21/1942,26250,m
kuldip,sandhu,B,07/21/2015,,08/05/2015,asuri,08/05/2015,asuri,02/28/1964,31950,m
Oscar,Caro,C,07/05/2015,,07/20/2015,asuri,07/20/2015,asuri,08/13/1946,30000,m
Jeff,Martin,D,07/25/2015,,08/09/2015,asuri,08/09/2015,asuri,04/29/1956,66250,m
OSCAR,FIGUEROA,E,07/09/2015,,07/24/2015,asuri,07/24/2015,asuri,01/15/1959,86250,m
DMYTRO,SYROVOI,F,07/29/2015,,08/13/2015,asuri,08/13/2015,asuri,03/12/1964,30750,m
Satvir,Gill,G,07/13/2015,,07/28/2015,asuri,07/28/2015,asuri,11/15/1966,33540,m
Albert,Adjian,H,08/02/2015,,08/17/2015,asuri,08/17/2015,asuri,11/15/1966,34950,m
carl,parra,I ,07/17/2015,,08/01/2015,asuri,08/01/2015,asuri,05/24/1964,40350,m
kiranjeet,sekhon,J,08/06/2015,,08/21/2015,asuri,08/21/2015,asuri,05/27/1965,30270,m
Mykola,Koshman,K,07/21/2015,,08/05/2015,asuri,08/05/2015,asuri,09/04/1933,26250,m
stefan,csercse,L,08/10/2015,,08/25/2015,asuri,08/25/2015,asuri,10/11/1964,32400,m
Jimmy ,Maciel,A,07/25/2015,,08/09/2015,asuri,08/09/2015,asuri,06/25/1970,20400,f
James,Pope,B,08/14/2015,,08/29/2015,asuri,08/29/2015,asuri,11/10/1947,24150,f
Brando A.,Viado,C,07/29/2015,,08/13/2015,asuri,08/13/2015,asuri,08/02/1949,23850,f
tom,nulman,D,08/18/2015,,09/02/2015,asuri,09/02/2015,asuri,09/18/1968,29700,f
Louis,Salazar,E,08/02/2015,,08/17/2015,asuri,08/17/2015,asuri,02/10/1929,21600,f
Bill,Aboudi,F,08/22/2015,,09/06/2015,asuri,09/06/2015,asuri,09/16/1961,24450,f
kathleen,quetin,G,08/06/2015,,08/21/2015,asuri,08/21/2015,asuri,08/04/1963,28050,m
Fernando,Ruiz,H,08/26/2015,,09/10/2015,asuri,09/10/2015,asuri,08/03/1958,100000,m
Robert,Wegis,I ,08/10/2015,,08/25/2015,asuri,08/25/2015,asuri,07/02/1961,49000,m
Gurtej,Singh,J,08/30/2015,,09/14/2015,asuri,09/14/2015,asuri,06/05/1933,16350,f
RAJEEV,SHARMA,K,08/14/2015,,08/29/2015,asuri,08/29/2015,asuri,01/02/1966,70000,m
Alvin,Beltrami,L,09/03/2015,,09/18/2015,asuri,09/18/2015,asuri,07/21/1954,55000,m
Baljeet,Ghumman,A,08/18/2015,,09/02/2015,asuri,09/02/2015,asuri,07/19/1969,28500,m
Eduardo,Ramirez,B,09/07/2015,,09/22/2015,asuri,09/22/2015,asuri,08/13/1953,28800,m
Revaz,Matsiashvili,C,08/22/2015,,09/06/2015,asuri,09/06/2015,asuri,08/07/1930,24450,m
jose,garcia,D,09/11/2015,,09/26/2015,asuri,09/26/2015,asuri,07/28/1965,90625,m
jerry,whitaker,E,08/26/2015,,09/10/2015,asuri,09/10/2015,asuri,01/17/1964,43650,m
Ruben,Perez,F,09/15/2015,,09/30/2015,asuri,09/30/2015,asuri,10/17/1959,75000,m
David,Fleming,G,08/30/2015,,09/14/2015,asuri,09/14/2015,asuri,05/27/1968,31650,m
MARCUS,MORRIS,H,09/19/2015,,10/04/2015,asuri,10/04/2015,asuri,07/06/1965,61875,m
Peter,Zebrowski,I ,09/03/2015,,09/18/2015,asuri,09/18/2015,asuri,02/10/1971,21750,f
CRISTIAN,LOERA,J,09/23/2015,,10/08/2015,asuri,10/08/2015,asuri,08/12/1969,22500,f
kulwinder,singh,K,09/07/2015,,09/22/2015,asuri,09/22/2015,asuri,11/08/1943,21600,f
RONALD,SAURETTE,L,09/27/2015,,10/12/2015,asuri,10/12/2015,asuri,10/18/1963,34410,f
CESAR,LOPEZ,A,09/11/2015,,09/26/2015,asuri,09/26/2015,asuri,10/15/1934,20700,f
guangping,zhang,B,10/01/2015,03/19/2018,10/16/2015,asuri,10/16/2015,asuri,03/20/1962,47550,m
Omar,Snoubar,C,09/15/2015,03/03/2018,09/30/2015,asuri,09/30/2015,asuri,07/20/1962,33900,m
ROBERT,DE LEON,D,10/05/2015,03/23/2018,10/20/2015,asuri,10/20/2015,asuri,06/15/1948,23400,f
Juana,Majano,E,09/19/2015,03/07/2018,10/04/2015,asuri,10/04/2015,asuri,08/18/1967,32850,f
Jeffrey,Ford,F,10/09/2015,03/27/2018,10/24/2015,asuri,10/24/2015,asuri,11/28/1965,55750,f
Alpidio,Hernandez,G,09/23/2015,03/11/2018,10/08/2015,asuri,10/08/2015,asuri,06/01/1964,25200,f
Wayne,Mack,H,10/13/2015,03/31/2018,10/28/2015,asuri,10/28/2015,asuri,01/22/1964,26250,m
david,juarez,I ,09/27/2015,03/15/2018,10/12/2015,asuri,10/12/2015,asuri,08/03/1966,26400,m
Balamutaly,Murugesu,J,10/17/2015,04/04/2018,11/01/2015,asuri,11/01/2015,asuri,02/21/1966,39150,m
Joel,Mahler,K,10/01/2015,03/19/2018,10/16/2015,asuri,10/16/2015,asuri,11/25/1937,21450,f
FERNANDO,FIGUEROA,L,10/21/2015,04/08/2018,11/05/2015,asuri,11/05/2015,asuri,11/05/1968,29400,f
Jose,Martinez,D,10/05/2015,03/23/2018,10/20/2015,asuri,10/20/2015,asuri,10/18/1963,31400,m
Parminder,Dhaliwal,E,10/25/2015,04/12/2018,11/09/2015,asuri,11/09/2015,asuri,10/15/1934,33400,m
Rosita,Casillas,F,10/09/2015,03/27/2018,10/24/2015,asuri,10/24/2015,asuri,03/20/1962,35400,m
RICARDO,FERNANDEZ,G,10/29/2015,04/16/2018,11/13/2015,asuri,11/13/2015,asuri,07/20/1962,37400,m
Jose Antonio,Cardenas,H,10/13/2015,03/31/2018,10/28/2015,asuri,10/28/2015,asuri,06/15/1948,39400,m
abel,sanchez casillas,I ,11/02/2015,04/20/2018,11/17/2015,asuri,11/17/2015,asuri,08/18/1967,41400,m
Teklemariam,Hiyabu,J,10/17/2015,04/04/2018,11/01/2015,asuri,11/01/2015,asuri,11/28/1965,43400,f
EFRAIN ,RODRIGUEZ,K,11/06/2015,04/24/2018,11/21/2015,asuri,11/21/2015,asuri,06/01/1964,45400,m
herminio,soto,L,10/21/2015,04/08/2018,11/05/2015,asuri,11/05/2015,asuri,01/22/1964,47400,m
Efren ,Sanchez,L,11/10/2015,04/28/2018,11/25/2015,asuri,11/25/2015,asuri,08/03/1966,49400,m
Juan,Ordonez,D,10/25/2015,04/12/2018,11/09/2015,asuri,11/09/2015,asuri,02/21/1966,51400,m
ALVARO,HERNANDEZ,E,11/14/2015,05/02/2018,11/29/2015,asuri,11/29/2015,asuri,11/25/1937,53400,m
Michelle,Uskuraitis,F,10/29/2015,04/16/2018,11/13/2015,asuri,11/13/2015,asuri,11/05/1968,55400,m
jay,dibattista,G,11/18/2015,,12/03/2015,asuri,12/03/2015,asuri,10/18/1963,57400,m
Stanley ,Liu ,H,11/02/2015,,11/17/2015,asuri,11/17/2015,asuri,10/15/1934,59400,m
Denny,Yard,I ,11/22/2015,,12/07/2015,asuri,12/07/2015,asuri,03/20/1962,61400,m
rimantas,talalas,J,11/06/2015,,11/21/2015,asuri,11/21/2015,asuri,07/20/1962,63400,m
xuong,nguyen,K,11/26/2015,,12/11/2015,asuri,12/11/2015,asuri,06/15/1948,65400,m
Argisht,Abramyan,L,11/10/2015,,11/25/2015,asuri,11/25/2015,asuri,08/18/1967,67400,m
JOSE,ALONSO,L,11/30/2015,,12/15/2015,asuri,12/15/2015,asuri,11/28/1965,69400,m
